date-time,path,dung-luong(kb),thoi-gian(s),ngon-ngu,path,so-tu,so-cau,so-tu,so-cau,algorithm_summary,processing Time,predict text classification,R1-Recall,R1-Precision,R1-F1-score,R2-Recall,R2-Precision,R2-F1-score,Rl-Recall,Rl-Precision,Rl-F1-score
20230620_052529, vi/1.mp4,3795,91.6, vi, vi/1_vi.txt,105,3,95,2, lexrank,58.61633348, chinh_tri_xa_hoi,0.935483871,1,0.966666662,0.915662651,1,0.955974838,0.935483871,1,0.966666662
20230620_052632, vi/1.mp4,3795,91.6, vi, vi/1_vi.txt,105,3,95,2, textrank,30.40685463, chinh_tri_xa_hoi,0.935483871,1,0.966666662,0.915662651,1,0.955974838,0.935483871,1,0.966666662
20230620_052739, vi/1.mp4,3795,91.6, vi, vi/1_vi.txt,105,3,95,2, luhn,13.28277898, chinh_tri_xa_hoi,0.935483871,1,0.966666662,0.915662651,1,0.955974838,0.935483871,1,0.966666662
20230620_052757, vi/1.mp4,3795,91.6, vi, vi/1_vi.txt,105,3,59,2, edmundson,41.81434011, chinh_tri_xa_hoi,0.580645161,1,0.734693873,0.530120482,0.977777778,0.687499995,0.580645161,1,0.734693873
20230620_052842, vi/1.mp4,3795,91.6, vi, vi/1_vi.txt,105,3,59,2, kl,17.46528769, chinh_tri_xa_hoi,0.580645161,1,0.734693873,0.530120482,0.977777778,0.687499995,0.580645161,1,0.734693873
20230620_075136, vi/1.mp4,3795,91.6, vi, vi/1_vi.txt,105,3,56,2, lsa,11.73661423, chinh_tri_xa_hoi,0.661290323,1,0.7961165,0.578313253,1,0.732824423,0.661290323,1,0.7961165
20230620_075153, vi/2.mp4,16159,287.42, vi, vi/2_vi.txt,652,27,112,2, lexrank,18.68511081, chinh_tri_xa_hoi,0.262820513,1,0.416243652,0.1875,0.990825688,0.315328464,0.262820513,1,0.416243652
20230620_075216, vi/2.mp4,16159,287.42, vi, vi/2_vi.txt,652,27,112,2, textrank,18.64326262, chinh_tri_xa_hoi,0.262820513,1,0.416243652,0.1875,0.990825688,0.315328464,0.262820513,1,0.416243652
20230620_075240, vi/2.mp4,16159,287.42, vi, vi/2_vi.txt,652,27,121,2, lsa,18.66940141, chinh_tri_xa_hoi,0.272435897,1,0.428211584,0.199652778,0.99137931,0.332369939,0.272435897,1,0.428211584
20230620_075304, vi/2.mp4,16159,287.42, vi, vi/2_vi.txt,652,27,74,2, luhn,20.57641196, chinh_tri_xa_hoi,0.192307692,1,0.322580642,0.123263889,0.986111111,0.2191358,0.192307692,1,0.322580642
20230620_075328, vi/2.mp4,16159,287.42, vi, vi/2_vi.txt,652,27,49,2, edmundson,18.58050609, chinh_tri_xa_hoi,0.121794872,1,0.217142855,0.079861111,0.978723404,0.147672551,0.121794872,1,0.217142855
20230620_075350, vi/2.mp4,16159,287.42, vi, vi/2_vi.txt,652,27,60,2, kl,17.18498111, chinh_tri_xa_hoi,0.144230769,1,0.252100838,0.097222222,0.98245614,0.176935227,0.144230769,1,0.252100838
20230620_053248, vi/3.mp4,1231,42.21, vi, vi/3_vi.txt,173,8,66,2, lexrank,34.86738586, the_thao,0.440677966,1,0.611764702,0.375,0.984375,0.543103444,0.440677966,1,0.611764702
20230620_053326, vi/3.mp4,1231,42.21, vi, vi/3_vi.txt,173,8,66,2, textrank,10.76566148, the_thao,0.440677966,1,0.611764702,0.375,0.984375,0.543103444,0.440677966,1,0.611764702
20230620_053341, vi/3.mp4,1231,42.21, vi, vi/3_vi.txt,173,8,46,2, lsa,8.657782078, the_thao,0.322033898,1,0.487179483,0.261904762,0.977777778,0.413145537,0.322033898,1,0.487179483
20230620_053353, vi/3.mp4,1231,42.21, vi, vi/3_vi.txt,173,8,62,2, luhn,8.20130372, the_thao,0.381355932,1,0.552147235,0.345238095,0.983050847,0.511013212,0.381355932,1,0.552147235
20230620_053404, vi/3.mp4,1231,42.21, vi, vi/3_vi.txt,173,8,46,2, edmundson,8.373839617, the_thao,0.322033898,1,0.487179483,0.261904762,0.977777778,0.413145537,0.322033898,1,0.487179483
20230620_053416, vi/3.mp4,1231,42.21, vi, vi/3_vi.txt,173,8,47,2, kl,8.360348701, the_thao,0.322033898,1,0.487179483,0.267857143,0.97826087,0.420560744,0.322033898,1,0.487179483
20230620_075412, vi/4.mp4,3852,37.82, vi, vi/4_vi.txt,71,1,71,1, lexrank,11.41299462, the_thao,0.981132075,1,0.990476185,0.984848485,1,0.992366407,0.981132075,1,0.990476185
20230620_075429, vi/4.mp4,3852,37.82, vi, vi/4_vi.txt,71,1,71,1, textrank,8.323570013, the_thao,0.981132075,1,0.990476185,0.984848485,1,0.992366407,0.981132075,1,0.990476185
20230620_075441, vi/4.mp4,3852,37.82, vi, vi/4_vi.txt,71,1,71,1, lsa,8.372052431, the_thao,0.981132075,1,0.990476185,0.984848485,1,0.992366407,0.981132075,1,0.990476185
20230620_075452, vi/4.mp4,3852,37.82, vi, vi/4_vi.txt,71,1,71,1, luhn,7.931386709, the_thao,0.981132075,1,0.990476185,0.984848485,1,0.992366407,0.981132075,1,0.990476185
20230620_075504, vi/4.mp4,3852,37.82, vi, vi/4_vi.txt,71,1,71,1, edmundson,12.97383904, the_thao,0.981132075,1,0.990476185,0.984848485,1,0.992366407,0.981132075,1,0.990476185
20230620_095700, vi/4.mp4,3852,37.82, vi, vi/4_vi.txt,71,1,71,1, kl,8.101051807, the_thao,0.981132075,1,0.990476185,0.984848485,1,0.992366407,0.981132075,1,0.990476185
20230620_075535, vi/5.mp4,6637,120.79, vi, vi/5_vi.txt,364,10,141,2, lexrank,74.63383222, chinh_tri_xa_hoi,0.453038674,1,0.62357414,0.401273885,1,0.572727269,0.453038674,1,0.62357414
20230620_075653, vi/5.mp4,6637,120.79, vi, vi/5_vi.txt,364,10,141,2, textrank,11.71291447, chinh_tri_xa_hoi,0.453038674,1,0.62357414,0.401273885,1,0.572727269,0.453038674,1,0.62357414
20230620_075708, vi/5.mp4,6637,120.79, vi, vi/5_vi.txt,364,10,63,2, lsa,12.17393398, chinh_tri_xa_hoi,0.276243094,1,0.43290043,0.194267516,1,0.325333331,0.276243094,1,0.43290043
20230620_075724, vi/5.mp4,6637,120.79, vi, vi/5_vi.txt,364,10,141,2, luhn,11.65546703, chinh_tri_xa_hoi,0.453038674,1,0.62357414,0.401273885,1,0.572727269,0.453038674,1,0.62357414
20230620_080105, vi/5.mp4,6637,120.79, vi, vi/5_vi.txt,364,10,40,2, edmundson,11.94696355, chinh_tri_xa_hoi,0.182320442,1,0.308411212,0.117834395,0.973684211,0.210227271,0.182320442,1,0.308411212
20230620_080121, vi/5.mp4,6637,120.79, vi, vi/5_vi.txt,364,10,76,2, kl,11.15355182, chinh_tri_xa_hoi,0.287292818,1,0.446351928,0.219745223,1,0.360313313,0.287292818,1,0.446351928
20230620_080135, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,80,2, lexrank,47.48595738, chinh_tri_xa_hoi,0.478991597,1,0.647727268,0.413043478,1,0.58461538,0.478991597,1,0.647727268
20230620_080228, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,80,2, textrank,15.58040428, chinh_tri_xa_hoi,0.478991597,1,0.647727268,0.413043478,1,0.58461538,0.478991597,1,0.647727268
20230620_080248, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,73,2, lsa,10.67405438, chinh_tri_xa_hoi,0.403361345,1,0.574850295,0.35326087,1,0.52208835,0.403361345,1,0.574850295
20230620_080302, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,112,2, luhn,16.80976081, chinh_tri_xa_hoi,0.554621849,1,0.713513509,0.543478261,0.99009901,0.701754381,0.554621849,1,0.713513509
20230620_080323, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,88,2, edmundson,9.816363096, chinh_tri_xa_hoi,0.495798319,1,0.662921344,0.445652174,0.987951807,0.614232205,0.495798319,1,0.662921344
20230620_080336, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,80,2, kl,15.54218841, chinh_tri_xa_hoi,0.478991597,1,0.647727268,0.413043478,1,0.58461538,0.478991597,1,0.647727268
20230620_080355, vi/7.mp4,3329,45.5, vi, vi/7_vi.txt,152,5,72,2, lexrank,32.4102695, phap_luat,0.542857143,1,0.703703699,0.455172414,1,0.625592413,0.542857143,1,0.703703699
20230620_080431, vi/7.mp4,3329,45.5, vi, vi/7_vi.txt,152,5,72,2, textrank,9.50829792, phap_luat,0.542857143,1,0.703703699,0.455172414,1,0.625592413,0.542857143,1,0.703703699
20230620_080444, vi/7.mp4,3329,45.5, vi, vi/7_vi.txt,152,5,50,2, lsa,10.15424299, phap_luat,0.371428571,1,0.541666663,0.324137931,1,0.48958333,0.371428571,1,0.541666663
20230620_080458, vi/7.mp4,3329,45.5, vi, vi/7_vi.txt,152,5,72,2, luhn,8.509943962, phap_luat,0.542857143,1,0.703703699,0.468965517,0.985507246,0.635514014,0.542857143,1,0.703703699
